S	SGEHEAPRUNMARKER	20	game
F	5	1	bHighVelocity
F	6	2	nGain
F	8	6	SustainLoop
F	14	6	ReleaseLoop
S	_OBJECT_DIRECTORY_INFORMATION	12	misc
F	0	8	Name
F	8	4	Type
S	sockaddr	16	misc
F	0	2	sa_family
F	2	14	sa_data
S	WAVESAMPLE	20	misc
F	0	4	dwSize
F	4	2	wUnityNote
F	6	2	nFineTune
F	8	4	lGain
F	12	4	dwOptions
F	16	4	dwSampleLoops
S	_FX_STATE_PARAMETERS	860	misc
F	0	255	EffectName
F	255	1	__align0
F	256	4	dwNumParams
F	260	600	aParamDescriptions
S	R_GP_RESET	4	misc
F	0	4	Global
F	0	4	DSP
F	0	4	NMI
F	0	4	Abort
F	0	4	uValue
S	AIFFMARKERHDR	2	misc
F	0	2	wMarkerCount
S	_CONTEXT	568	misc
F	0	4	ContextFlags
F	4	516	FloatSave
F	520	4	Edi
F	524	4	Esi
F	528	4	Ebx
F	532	4	Edx
F	536	4	Ecx
F	540	4	Eax
F	544	4	Ebp
F	548	4	Eip
F	552	4	SegCs
F	556	4	EFlags
F	560	4	Esp
F	564	4	SegSs
S	PROCESSOR_STATE_HANDLER	36	misc
F	0	1	ThrottleScale
F	1	1	ThrottleOnIdle
F	2	2	__align0
F	8	4	NumIdleHandlers
F	12	24	IdleHandler
S	_XMEDIAPACKET	24	misc
F	0	4	pvBuffer
F	4	4	dwMaxSize
F	8	4	pdwCompletedSize
F	12	4	pdwStatus
F	16	4	hCompletionEvent
F	16	4	pContext
F	20	4	prtTimestamp
S	_OBJECT_HEADER_NAME_INFO	16	misc
F	0	4	ChainLink
F	4	4	Directory
F	8	8	Name
S	XAc97MediaObject	4	misc
F	0	4	lpVtbl
S	SYSTEM_POWER_LEVEL	24	misc
F	0	1	Enable
F	1	3	Spare
F	4	4	BatteryLevel
F	8	12	PowerPolicy
F	20	4	MinSystemState
S	_ACCESS_ALLOWED_OBJECT_ACE	48	misc
F	0	4	Header
F	4	4	Mask
F	8	4	Flags
F	12	16	ObjectType
